Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Diagnosis,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,Tissue
SRR9666722,OTHER,252,13358868,PRJNA453621,SAMN12249382,5581337,GEO,public,"sra,fastq,run.zq","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",healthy,SRX6427428,GSM3936519,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:31:00Z,1,GSM3936519,Feces,SRP142644,human fecal tissue
SRR9666723,OTHER,252,11022838,PRJNA453621,SAMN12249413,4596729,GEO,public,"fastq,sra,run.zq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",healthy,SRX6427429,GSM3936520,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:32:00Z,1,GSM3936520,Feces,SRP142644,human fecal tissue
SRR9666724,OTHER,252,12405553,PRJNA453621,SAMN12249412,5103430,GEO,public,"run.zq,sra,fastq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",healthy,SRX6427430,GSM3936521,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:38:00Z,1,GSM3936521,Feces,SRP142644,human fecal tissue
SRR9666725,OTHER,252,12240936,PRJNA453621,SAMN12249411,5088301,GEO,public,"sra,run.zq,fastq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",healthy,SRX6427431,GSM3936522,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:38:00Z,1,GSM3936522,Feces,SRP142644,human fecal tissue
SRR9666727,OTHER,252,12071636,PRJNA453621,SAMN12249409,5065675,GEO,public,"sra,fastq,run.zq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",healthy,SRX6427433,GSM3936524,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:32:00Z,1,GSM3936524,Feces,SRP142644,human fecal tissue
SRR9666728,OTHER,252,12658216,PRJNA453621,SAMN12249408,5167011,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",healthy,SRX6427434,GSM3936525,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:40:00Z,1,GSM3936525,Feces,SRP142644,human fecal tissue
SRR9666729,OTHER,252,11969906,PRJNA453621,SAMN12249407,4943660,GEO,public,"fastq,run.zq,sra","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",healthy,SRX6427435,GSM3936526,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:51:00Z,1,GSM3936526,Feces,SRP142644,human fecal tissue
SRR9666730,OTHER,252,10904684,PRJNA453621,SAMN12249406,4534220,GEO,public,"fastq,sra,run.zq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",healthy,SRX6427436,GSM3936527,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:38:00Z,1,GSM3936527,Feces,SRP142644,human fecal tissue
SRR9666731,OTHER,252,14516051,PRJNA453621,SAMN12249405,6002611,GEO,public,"sra,fastq,run.zq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",healthy,SRX6427437,GSM3936528,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:51:00Z,1,GSM3936528,Feces,SRP142644,human fecal tissue
SRR9666732,OTHER,252,10803431,PRJNA453621,SAMN12249366,4463147,GEO,public,"run.zq,sra,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",healthy,SRX6427438,GSM3936529,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:40:00Z,1,GSM3936529,Feces,SRP142644,human fecal tissue
SRR9666733,OTHER,252,10657352,PRJNA453621,SAMN12249365,4394739,GEO,public,"run.zq,fastq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",healthy,SRX6427439,GSM3936530,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:52:00Z,1,GSM3936530,Feces,SRP142644,human fecal tissue
SRR9666734,OTHER,252,14749164,PRJNA453621,SAMN12249364,6734525,GEO,public,"sra,run.zq,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",healthy,SRX6427440,GSM3936531,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:51:00Z,1,GSM3936531,Feces,SRP142644,human fecal tissue
SRR9666735,OTHER,252,15200356,PRJNA453621,SAMN12249363,6253952,GEO,public,"sra,run.zq,fastq","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",healthy,SRX6427441,GSM3936532,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:51:00Z,1,GSM3936532,Feces,SRP142644,human fecal tissue
SRR9666736,OTHER,252,12067296,PRJNA453621,SAMN12249362,5414403,GEO,public,"fastq,sra,run.zq","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",healthy,SRX6427442,GSM3936533,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:50:00Z,1,GSM3936533,Feces,SRP142644,human fecal tissue
SRR9666737,OTHER,252,13348676,PRJNA453621,SAMN12249361,5999293,GEO,public,"sra,fastq,run.zq","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",healthy,SRX6427443,GSM3936534,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:51:00Z,1,GSM3936534,Feces,SRP142644,human fecal tissue
SRR9666738,OTHER,252,15057172,PRJNA453621,SAMN12249360,6763409,GEO,public,"sra,fastq,run.zq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",healthy,SRX6427444,GSM3936535,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:52:00Z,1,GSM3936535,Feces,SRP142644,human fecal tissue
SRR9666739,OTHER,252,11191183,PRJNA453621,SAMN12249359,5093942,GEO,public,"run.zq,sra,fastq","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",healthy,SRX6427445,GSM3936536,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:51:00Z,1,GSM3936536,Feces,SRP142644,human fecal tissue
SRR9666740,OTHER,252,13616365,PRJNA453621,SAMN12249404,5674554,GEO,public,"run.zq,sra,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",healthy,SRX6427446,GSM3936537,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:51:00Z,1,GSM3936537,Feces,SRP142644,human fecal tissue
SRR9666741,OTHER,252,14199287,PRJNA453621,SAMN12249403,6471538,GEO,public,"run.zq,fastq,sra","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",healthy,SRX6427447,GSM3936538,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:51:00Z,1,GSM3936538,Feces,SRP142644,human fecal tissue
SRR9666742,OTHER,252,12775281,PRJNA453621,SAMN12249402,5446719,GEO,public,"run.zq,sra,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",healthy,SRX6427448,GSM3936539,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:38:00Z,1,GSM3936539,Feces,SRP142644,human fecal tissue
SRR9666743,OTHER,252,14901343,PRJNA453621,SAMN12249401,6186532,GEO,public,"run.zq,sra,fastq","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",healthy,SRX6427449,GSM3936540,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:45:00Z,1,GSM3936540,Feces,SRP142644,human fecal tissue
SRR9666744,OTHER,252,11355894,PRJNA453621,SAMN12249400,4720379,GEO,public,"fastq,run.zq,sra","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",healthy,SRX6427450,GSM3936541,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:52:00Z,1,GSM3936541,Feces,SRP142644,human fecal tissue
SRR9666745,OTHER,252,13209344,PRJNA453621,SAMN12249399,5520871,GEO,public,"run.zq,fastq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",healthy,SRX6427451,GSM3936542,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:51:00Z,1,GSM3936542,Feces,SRP142644,human fecal tissue
SRR9666746,OTHER,252,10821186,PRJNA453621,SAMN12249398,4506577,GEO,public,"fastq,run.zq,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",healthy,SRX6427452,GSM3936543,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:46:00Z,1,GSM3936543,Feces,SRP142644,human fecal tissue
SRR9666747,OTHER,252,14147527,PRJNA453621,SAMN12249397,6391795,GEO,public,"sra,run.zq,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",healthy,SRX6427453,GSM3936544,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:52:00Z,1,GSM3936544,Feces,SRP142644,human fecal tissue
SRR9666748,OTHER,253,10909757,PRJNA453621,SAMN12249396,4583523,GEO,public,"sra,fastq,run.zq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",healthy,SRX6427454,GSM3936545,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:53:00Z,1,GSM3936545,Feces,SRP142644,human fecal tissue
SRR9666749,OTHER,252,14608915,PRJNA453621,SAMN12249395,6055179,GEO,public,"sra,fastq,run.zq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",healthy,SRX6427455,GSM3936546,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:51:00Z,1,GSM3936546,Feces,SRP142644,human fecal tissue
SRR9666750,OTHER,252,11706778,PRJNA453621,SAMN12249390,5263592,GEO,public,"run.zq,sra,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",healthy,SRX6427456,GSM3936547,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:51:00Z,1,GSM3936547,Feces,SRP142644,human fecal tissue
SRR9666751,OTHER,252,11751044,PRJNA453621,SAMN12249394,4821593,GEO,public,"run.zq,sra,fastq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",healthy,SRX6427457,GSM3936548,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:51:00Z,1,GSM3936548,Feces,SRP142644,human fecal tissue
SRR9666752,OTHER,252,13770612,PRJNA453621,SAMN12249393,5698253,GEO,public,"fastq,sra,run.zq","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",healthy,SRX6427458,GSM3936549,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:38:00Z,1,GSM3936549,Feces,SRP142644,human fecal tissue
SRR9666753,OTHER,252,15203682,PRJNA453621,SAMN12249392,6651376,GEO,public,"sra,fastq,run.zq","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",healthy,SRX6427475,GSM3936550,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:51:00Z,1,GSM3936550,Feces,SRP142644,human fecal tissue
SRR9666754,OTHER,252,15112534,PRJNA453621,SAMN12249391,6845388,GEO,public,"fastq,sra,run.zq","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",healthy,SRX6427476,GSM3936551,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:56:00Z,1,GSM3936551,Feces,SRP142644,human fecal tissue
SRR9666755,OTHER,252,12821311,PRJNA453621,SAMN12249389,5237634,GEO,public,"run.zq,fastq,sra","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",healthy,SRX6427477,GSM3936552,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:50:00Z,1,GSM3936552,Feces,SRP142644,human fecal tissue
SRR9666756,OTHER,252,13124595,PRJNA453621,SAMN12249388,5789705,GEO,public,"fastq,run.zq,sra","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",healthy,SRX6427478,GSM3936553,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:57:00Z,1,GSM3936553,Feces,SRP142644,human fecal tissue
SRR9666757,OTHER,252,13459636,PRJNA453621,SAMN12249387,5565899,GEO,public,"run.zq,fastq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",healthy,SRX6427479,GSM3936554,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:51:00Z,1,GSM3936554,Feces,SRP142644,human fecal tissue
SRR9666758,OTHER,252,11472473,PRJNA453621,SAMN12249386,5135290,GEO,public,"sra,fastq,run.zq","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",healthy,SRX6427480,GSM3936555,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:51:00Z,1,GSM3936555,Feces,SRP142644,human fecal tissue
SRR9666759,OTHER,252,10810648,PRJNA453621,SAMN12249385,4771248,GEO,public,"fastq,sra,run.zq","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",healthy,SRX6427481,GSM3936556,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:55:00Z,1,GSM3936556,Feces,SRP142644,human fecal tissue
SRR9666760,OTHER,252,14246939,PRJNA453621,SAMN12249384,6416915,GEO,public,"fastq,sra,run.zq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",healthy,SRX6427482,GSM3936557,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:46:00Z,1,GSM3936557,Feces,SRP142644,human fecal tissue
SRR9666761,OTHER,252,11309734,PRJNA453621,SAMN12249256,5078566,GEO,public,"fastq,sra,run.zq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",healthy,SRX6427483,GSM3936558,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:51:00Z,1,GSM3936558,Feces,SRP142644,human fecal tissue
SRR9666762,OTHER,252,8214657,PRJNA453621,SAMN12249255,3718536,GEO,public,"fastq,run.zq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",healthy,SRX6427484,GSM3936559,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:51:00Z,1,GSM3936559,Feces,SRP142644,human fecal tissue
SRR9666763,OTHER,252,12801708,PRJNA453621,SAMN12249254,5371891,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",healthy,SRX6427485,GSM3936560,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:51:00Z,1,GSM3936560,Feces,SRP142644,human fecal tissue
SRR9666764,OTHER,252,13448128,PRJNA453621,SAMN12249253,6171422,GEO,public,"fastq,sra,run.zq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",healthy,SRX6427486,GSM3936561,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:33:00Z,1,GSM3936561,Feces,SRP142644,human fecal tissue
SRR9666765,OTHER,252,11673248,PRJNA453621,SAMN12249252,4812648,GEO,public,"fastq,sra,run.zq","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",healthy,SRX6427487,GSM3936562,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:52:00Z,1,GSM3936562,Feces,SRP142644,human fecal tissue
SRR9666766,OTHER,252,10742981,PRJNA453621,SAMN12249251,4467673,GEO,public,"run.zq,fastq,sra","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",healthy,SRX6427488,GSM3936563,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:51:00Z,1,GSM3936563,Feces,SRP142644,human fecal tissue
SRR9666767,OTHER,252,11160210,PRJNA453621,SAMN12249250,4951849,GEO,public,"sra,fastq,run.zq","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",healthy,SRX6427489,GSM3936564,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:40:00Z,1,GSM3936564,Feces,SRP142644,human fecal tissue
SRR9666768,OTHER,252,15364664,PRJNA453621,SAMN12249249,6312955,GEO,public,"fastq,run.zq,sra","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",healthy,SRX6427490,GSM3936565,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:51:00Z,1,GSM3936565,Feces,SRP142644,human fecal tissue
SRR9666769,OTHER,252,13417786,PRJNA453621,SAMN12249248,5574446,GEO,public,"fastq,sra,run.zq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",healthy,SRX6427507,GSM3936566,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:53:00Z,1,GSM3936566,Feces,SRP142644,human fecal tissue
SRR9666770,OTHER,252,11196165,PRJNA453621,SAMN12249247,4742925,GEO,public,"fastq,run.zq,sra","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",healthy,SRX6427508,GSM3936567,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:51:00Z,1,GSM3936567,Feces,SRP142644,human fecal tissue
SRR9666771,OTHER,252,10728715,PRJNA453621,SAMN12249246,4488910,GEO,public,"sra,fastq,run.zq","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",healthy,SRX6427509,GSM3936568,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:38:00Z,1,GSM3936568,Feces,SRP142644,human fecal tissue
SRR9666772,OTHER,252,17436987,PRJNA453621,SAMN12249245,7503338,GEO,public,"run.zq,fastq,sra","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",healthy,SRX6427510,GSM3936569,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:32:00Z,1,GSM3936569,Feces,SRP142644,human fecal tissue
SRR9666773,OTHER,252,17023117,PRJNA453621,SAMN12249308,7286948,GEO,public,"run.zq,fastq,sra","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",healthy,SRX6427511,GSM3936570,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:57:00Z,1,GSM3936570,Feces,SRP142644,human fecal tissue
SRR9666774,OTHER,252,16269660,PRJNA453621,SAMN12249307,7195878,GEO,public,"sra,fastq,run.zq","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",healthy,SRX6427512,GSM3936571,Illumina HiSeq 2500,SINGLE,other,GENOMIC,feces metagenome,ILLUMINA,2020-10-02T00:00:00Z,2019-07-10T11:51:00Z,1,GSM3936571,Feces,SRP142644,human fecal tissue
