Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,Lat_Lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR10305338,AMPLICON,602,29417934,PRJNA578223,SAMN13053192,Metagenome or environmental,16752215,CHINESE NATIONAL HUMAN GENOME CENTER AT SHANGHAI,2018,public,"sra,run.zq,fastq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX7016731,China,Asia,China:Shanghai,Homo sapiens,Illumina MiSeq,31.2 N 121.4 E,case39,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2019-12-09T00:00:00Z,2019-10-18T03:03:00Z,1,human gut microbiota of children,SRP226142
SRR10305339,AMPLICON,602,36493842,PRJNA578223,SAMN13053192,Metagenome or environmental,20281500,CHINESE NATIONAL HUMAN GENOME CENTER AT SHANGHAI,2018,public,"sra,run.zq,fastq","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX7016730,China,Asia,China:Shanghai,Homo sapiens,Illumina MiSeq,31.2 N 121.4 E,case38,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2019-12-09T00:00:00Z,2019-10-18T03:04:00Z,1,human gut microbiota of children,SRP226142
SRR10305340,AMPLICON,602,34088852,PRJNA578223,SAMN13053192,Metagenome or environmental,19019422,CHINESE NATIONAL HUMAN GENOME CENTER AT SHANGHAI,2018,public,"run.zq,fastq,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX7016729,China,Asia,China:Shanghai,Homo sapiens,Illumina MiSeq,31.2 N 121.4 E,case37,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2019-12-09T00:00:00Z,2019-10-18T03:04:00Z,1,human gut microbiota of children,SRP226142
SRR10305341,AMPLICON,602,38253488,PRJNA578223,SAMN13053192,Metagenome or environmental,21067566,CHINESE NATIONAL HUMAN GENOME CENTER AT SHANGHAI,2018,public,"run.zq,sra,fastq","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX7016728,China,Asia,China:Shanghai,Homo sapiens,Illumina MiSeq,31.2 N 121.4 E,case36,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2019-12-09T00:00:00Z,2019-10-18T03:04:00Z,1,human gut microbiota of children,SRP226142
SRR10305342,AMPLICON,602,39877082,PRJNA578223,SAMN13053192,Metagenome or environmental,21950386,CHINESE NATIONAL HUMAN GENOME CENTER AT SHANGHAI,2018,public,"run.zq,sra,fastq","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX7016727,China,Asia,China:Shanghai,Homo sapiens,Illumina MiSeq,31.2 N 121.4 E,case35,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2019-12-09T00:00:00Z,2019-10-18T03:04:00Z,1,human gut microbiota of children,SRP226142
SRR10305343,AMPLICON,602,31909010,PRJNA578223,SAMN13053192,Metagenome or environmental,17920489,CHINESE NATIONAL HUMAN GENOME CENTER AT SHANGHAI,2018,public,"sra,run.zq,fastq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX7016726,China,Asia,China:Shanghai,Homo sapiens,Illumina MiSeq,31.2 N 121.4 E,case34,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2019-12-09T00:00:00Z,2019-10-18T03:04:00Z,1,human gut microbiota of children,SRP226142
SRR10305344,AMPLICON,602,35441546,PRJNA578223,SAMN13053192,Metagenome or environmental,19761657,CHINESE NATIONAL HUMAN GENOME CENTER AT SHANGHAI,2018,public,"fastq,sra,run.zq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX7016725,China,Asia,China:Shanghai,Homo sapiens,Illumina MiSeq,31.2 N 121.4 E,case33,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2019-12-09T00:00:00Z,2019-10-18T03:05:00Z,1,human gut microbiota of children,SRP226142
SRR10305345,AMPLICON,590,42903676,PRJNA578223,SAMN13053192,Metagenome or environmental,27188357,CHINESE NATIONAL HUMAN GENOME CENTER AT SHANGHAI,2018,public,"run.zq,fastq,sra","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX7016724,China,Asia,China:Shanghai,Homo sapiens,Illumina MiSeq,31.2 N 121.4 E,control9,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2019-12-09T00:00:00Z,2019-10-18T03:05:00Z,1,human gut microbiota of children,SRP226142
SRR10305346,AMPLICON,602,39819892,PRJNA578223,SAMN13053192,Metagenome or environmental,22135635,CHINESE NATIONAL HUMAN GENOME CENTER AT SHANGHAI,2018,public,"sra,run.zq,fastq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX7016723,China,Asia,China:Shanghai,Homo sapiens,Illumina MiSeq,31.2 N 121.4 E,case32,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2019-12-09T00:00:00Z,2019-10-18T03:05:00Z,1,human gut microbiota of children,SRP226142
SRR10305347,AMPLICON,602,37508212,PRJNA578223,SAMN13053192,Metagenome or environmental,21032119,CHINESE NATIONAL HUMAN GENOME CENTER AT SHANGHAI,2018,public,"run.zq,fastq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX7016722,China,Asia,China:Shanghai,Homo sapiens,Illumina MiSeq,31.2 N 121.4 E,case31,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2019-12-09T00:00:00Z,2019-10-18T03:06:00Z,1,human gut microbiota of children,SRP226142
SRR10305348,AMPLICON,602,29451044,PRJNA578223,SAMN13053192,Metagenome or environmental,16356026,CHINESE NATIONAL HUMAN GENOME CENTER AT SHANGHAI,2018,public,"sra,fastq,run.zq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX7016721,China,Asia,China:Shanghai,Homo sapiens,Illumina MiSeq,31.2 N 121.4 E,case30,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2019-12-09T00:00:00Z,2019-10-18T03:06:00Z,1,human gut microbiota of children,SRP226142
SRR10305349,AMPLICON,602,39992064,PRJNA578223,SAMN13053192,Metagenome or environmental,22601366,CHINESE NATIONAL HUMAN GENOME CENTER AT SHANGHAI,2018,public,"run.zq,fastq,sra","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX7016720,China,Asia,China:Shanghai,Homo sapiens,Illumina MiSeq,31.2 N 121.4 E,case29,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2019-12-09T00:00:00Z,2019-10-18T03:06:00Z,1,human gut microbiota of children,SRP226142
SRR10305350,AMPLICON,602,39408726,PRJNA578223,SAMN13053192,Metagenome or environmental,21977635,CHINESE NATIONAL HUMAN GENOME CENTER AT SHANGHAI,2018,public,"fastq,sra,run.zq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX7016719,China,Asia,China:Shanghai,Homo sapiens,Illumina MiSeq,31.2 N 121.4 E,case28,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2019-12-09T00:00:00Z,2019-10-18T03:06:00Z,1,human gut microbiota of children,SRP226142
SRR10305351,AMPLICON,602,32573016,PRJNA578223,SAMN13053192,Metagenome or environmental,18125092,CHINESE NATIONAL HUMAN GENOME CENTER AT SHANGHAI,2018,public,"run.zq,fastq,sra","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX7016718,China,Asia,China:Shanghai,Homo sapiens,Illumina MiSeq,31.2 N 121.4 E,case27,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2019-12-09T00:00:00Z,2019-10-18T03:06:00Z,1,human gut microbiota of children,SRP226142
SRR10305352,AMPLICON,602,39592938,PRJNA578223,SAMN13053192,Metagenome or environmental,22207021,CHINESE NATIONAL HUMAN GENOME CENTER AT SHANGHAI,2018,public,"sra,run.zq,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX7016717,China,Asia,China:Shanghai,Homo sapiens,Illumina MiSeq,31.2 N 121.4 E,case26,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2019-12-09T00:00:00Z,2019-10-18T03:06:00Z,1,human gut microbiota of children,SRP226142
SRR10305353,AMPLICON,602,30405214,PRJNA578223,SAMN13053192,Metagenome or environmental,16601140,CHINESE NATIONAL HUMAN GENOME CENTER AT SHANGHAI,2018,public,"sra,run.zq,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX7016716,China,Asia,China:Shanghai,Homo sapiens,Illumina MiSeq,31.2 N 121.4 E,case25,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2019-12-09T00:00:00Z,2019-10-18T03:06:00Z,1,human gut microbiota of children,SRP226142
SRR10305354,AMPLICON,602,39508658,PRJNA578223,SAMN13053192,Metagenome or environmental,21805736,CHINESE NATIONAL HUMAN GENOME CENTER AT SHANGHAI,2018,public,"sra,run.zq,fastq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX7016715,China,Asia,China:Shanghai,Homo sapiens,Illumina MiSeq,31.2 N 121.4 E,case24,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2019-12-09T00:00:00Z,2019-10-18T03:06:00Z,1,human gut microbiota of children,SRP226142
SRR10305355,AMPLICON,602,26297768,PRJNA578223,SAMN13053192,Metagenome or environmental,14548479,CHINESE NATIONAL HUMAN GENOME CENTER AT SHANGHAI,2018,public,"run.zq,fastq,sra","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX7016714,China,Asia,China:Shanghai,Homo sapiens,Illumina MiSeq,31.2 N 121.4 E,case23,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2019-12-09T00:00:00Z,2019-10-18T03:07:00Z,1,human gut microbiota of children,SRP226142
SRR10305356,AMPLICON,592,34216234,PRJNA578223,SAMN13053192,Metagenome or environmental,21156591,CHINESE NATIONAL HUMAN GENOME CENTER AT SHANGHAI,2018,public,"run.zq,sra,fastq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX7016713,China,Asia,China:Shanghai,Homo sapiens,Illumina MiSeq,31.2 N 121.4 E,control8,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2019-12-09T00:00:00Z,2019-10-18T03:07:00Z,1,human gut microbiota of children,SRP226142
SRR10305357,AMPLICON,602,34307980,PRJNA578223,SAMN13053192,Metagenome or environmental,19275312,CHINESE NATIONAL HUMAN GENOME CENTER AT SHANGHAI,2018,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX7016712,China,Asia,China:Shanghai,Homo sapiens,Illumina MiSeq,31.2 N 121.4 E,case22,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2019-12-09T00:00:00Z,2019-10-18T03:07:00Z,1,human gut microbiota of children,SRP226142
SRR10305358,AMPLICON,602,36731632,PRJNA578223,SAMN13053192,Metagenome or environmental,20591928,CHINESE NATIONAL HUMAN GENOME CENTER AT SHANGHAI,2018,public,"run.zq,sra,fastq","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX7016711,China,Asia,China:Shanghai,Homo sapiens,Illumina MiSeq,31.2 N 121.4 E,case21,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2019-12-09T00:00:00Z,2019-10-18T03:07:00Z,1,human gut microbiota of children,SRP226142
SRR10305359,AMPLICON,602,39060168,PRJNA578223,SAMN13053192,Metagenome or environmental,22125325,CHINESE NATIONAL HUMAN GENOME CENTER AT SHANGHAI,2018,public,"fastq,sra,run.zq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX7016710,China,Asia,China:Shanghai,Homo sapiens,Illumina MiSeq,31.2 N 121.4 E,case20,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2019-12-09T00:00:00Z,2019-10-18T03:08:00Z,1,human gut microbiota of children,SRP226142
SRR10305360,AMPLICON,602,33471200,PRJNA578223,SAMN13053192,Metagenome or environmental,18699240,CHINESE NATIONAL HUMAN GENOME CENTER AT SHANGHAI,2018,public,"sra,fastq,run.zq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX7016709,China,Asia,China:Shanghai,Homo sapiens,Illumina MiSeq,31.2 N 121.4 E,case19,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2019-12-09T00:00:00Z,2019-10-18T03:07:00Z,1,human gut microbiota of children,SRP226142
SRR10305361,AMPLICON,602,31384066,PRJNA578223,SAMN13053192,Metagenome or environmental,17294252,CHINESE NATIONAL HUMAN GENOME CENTER AT SHANGHAI,2018,public,"fastq,run.zq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX7016708,China,Asia,China:Shanghai,Homo sapiens,Illumina MiSeq,31.2 N 121.4 E,case18,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2019-12-09T00:00:00Z,2019-10-18T03:08:00Z,1,human gut microbiota of children,SRP226142
SRR10305362,AMPLICON,602,35667898,PRJNA578223,SAMN13053192,Metagenome or environmental,19586755,CHINESE NATIONAL HUMAN GENOME CENTER AT SHANGHAI,2018,public,"sra,run.zq,fastq","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX7016707,China,Asia,China:Shanghai,Homo sapiens,Illumina MiSeq,31.2 N 121.4 E,case17,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2019-12-09T00:00:00Z,2019-10-18T03:08:00Z,1,human gut microbiota of children,SRP226142
SRR10305363,AMPLICON,602,40727106,PRJNA578223,SAMN13053192,Metagenome or environmental,22687126,CHINESE NATIONAL HUMAN GENOME CENTER AT SHANGHAI,2018,public,"sra,run.zq,fastq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX7016706,China,Asia,China:Shanghai,Homo sapiens,Illumina MiSeq,31.2 N 121.4 E,case16,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2019-12-09T00:00:00Z,2019-10-18T03:08:00Z,1,human gut microbiota of children,SRP226142
SRR10305364,AMPLICON,602,40886636,PRJNA578223,SAMN13053192,Metagenome or environmental,22796427,CHINESE NATIONAL HUMAN GENOME CENTER AT SHANGHAI,2018,public,"run.zq,fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7016705,China,Asia,China:Shanghai,Homo sapiens,Illumina MiSeq,31.2 N 121.4 E,case15,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2019-12-09T00:00:00Z,2019-10-18T03:08:00Z,1,human gut microbiota of children,SRP226142
SRR10305365,AMPLICON,602,36548624,PRJNA578223,SAMN13053192,Metagenome or environmental,20374325,CHINESE NATIONAL HUMAN GENOME CENTER AT SHANGHAI,2018,public,"sra,run.zq,fastq","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX7016704,China,Asia,China:Shanghai,Homo sapiens,Illumina MiSeq,31.2 N 121.4 E,case14,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2019-12-09T00:00:00Z,2019-10-18T03:08:00Z,1,human gut microbiota of children,SRP226142
SRR10305366,AMPLICON,602,37178316,PRJNA578223,SAMN13053192,Metagenome or environmental,20328086,CHINESE NATIONAL HUMAN GENOME CENTER AT SHANGHAI,2018,public,"run.zq,fastq,sra","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX7016703,China,Asia,China:Shanghai,Homo sapiens,Illumina MiSeq,31.2 N 121.4 E,case13,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2019-12-09T00:00:00Z,2019-10-18T03:09:00Z,1,human gut microbiota of children,SRP226142
SRR10305367,AMPLICON,569,32994779,PRJNA578223,SAMN13053192,Metagenome or environmental,19552238,CHINESE NATIONAL HUMAN GENOME CENTER AT SHANGHAI,2018,public,"run.zq,sra,fastq","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX7016702,China,Asia,China:Shanghai,Homo sapiens,Illumina MiSeq,31.2 N 121.4 E,control7,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2019-12-09T00:00:00Z,2019-10-18T03:09:00Z,1,human gut microbiota of children,SRP226142
SRR10305368,AMPLICON,602,37678578,PRJNA578223,SAMN13053192,Metagenome or environmental,21099014,CHINESE NATIONAL HUMAN GENOME CENTER AT SHANGHAI,2018,public,"fastq,sra,run.zq","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",SRX7016701,China,Asia,China:Shanghai,Homo sapiens,Illumina MiSeq,31.2 N 121.4 E,case12,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2019-12-09T00:00:00Z,2019-10-18T03:09:00Z,1,human gut microbiota of children,SRP226142
SRR10305369,AMPLICON,602,44067604,PRJNA578223,SAMN13053192,Metagenome or environmental,24582849,CHINESE NATIONAL HUMAN GENOME CENTER AT SHANGHAI,2018,public,"fastq,run.zq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX7016700,China,Asia,China:Shanghai,Homo sapiens,Illumina MiSeq,31.2 N 121.4 E,case11,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2019-12-09T00:00:00Z,2019-10-18T03:09:00Z,1,human gut microbiota of children,SRP226142
SRR10305370,AMPLICON,602,27357288,PRJNA578223,SAMN13053192,Metagenome or environmental,15316573,CHINESE NATIONAL HUMAN GENOME CENTER AT SHANGHAI,2018,public,"run.zq,fastq,sra","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX7016699,China,Asia,China:Shanghai,Homo sapiens,Illumina MiSeq,31.2 N 121.4 E,case10,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2019-12-09T00:00:00Z,2019-10-18T03:09:00Z,1,human gut microbiota of children,SRP226142
SRR10305371,AMPLICON,602,29319808,PRJNA578223,SAMN13053192,Metagenome or environmental,16402638,CHINESE NATIONAL HUMAN GENOME CENTER AT SHANGHAI,2018,public,"fastq,sra,run.zq","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX7016698,China,Asia,China:Shanghai,Homo sapiens,Illumina MiSeq,31.2 N 121.4 E,case9,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2019-12-09T00:00:00Z,2019-10-18T03:09:00Z,1,human gut microbiota of children,SRP226142
SRR10305372,AMPLICON,602,36269296,PRJNA578223,SAMN13053192,Metagenome or environmental,20189637,CHINESE NATIONAL HUMAN GENOME CENTER AT SHANGHAI,2018,public,"run.zq,sra,fastq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX7016697,China,Asia,China:Shanghai,Homo sapiens,Illumina MiSeq,31.2 N 121.4 E,case8,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2019-12-09T00:00:00Z,2019-10-18T03:10:00Z,1,human gut microbiota of children,SRP226142
SRR10305373,AMPLICON,602,37274034,PRJNA578223,SAMN13053192,Metagenome or environmental,21026799,CHINESE NATIONAL HUMAN GENOME CENTER AT SHANGHAI,2018,public,"run.zq,fastq,sra","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX7016696,China,Asia,China:Shanghai,Homo sapiens,Illumina MiSeq,31.2 N 121.4 E,case7,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2019-12-09T00:00:00Z,2019-10-18T03:10:00Z,1,human gut microbiota of children,SRP226142
SRR10305374,AMPLICON,602,39335282,PRJNA578223,SAMN13053192,Metagenome or environmental,21749560,CHINESE NATIONAL HUMAN GENOME CENTER AT SHANGHAI,2018,public,"sra,run.zq,fastq","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX7016695,China,Asia,China:Shanghai,Homo sapiens,Illumina MiSeq,31.2 N 121.4 E,case6,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2019-12-09T00:00:00Z,2019-10-18T03:10:00Z,1,human gut microbiota of children,SRP226142
SRR10305375,AMPLICON,602,36292172,PRJNA578223,SAMN13053192,Metagenome or environmental,20161868,CHINESE NATIONAL HUMAN GENOME CENTER AT SHANGHAI,2018,public,"fastq,run.zq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",SRX7016694,China,Asia,China:Shanghai,Homo sapiens,Illumina MiSeq,31.2 N 121.4 E,case5,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2019-12-09T00:00:00Z,2019-10-18T03:10:00Z,1,human gut microbiota of children,SRP226142
SRR10305376,AMPLICON,602,27798554,PRJNA578223,SAMN13053192,Metagenome or environmental,15379560,CHINESE NATIONAL HUMAN GENOME CENTER AT SHANGHAI,2018,public,"sra,run.zq,fastq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX7016693,China,Asia,China:Shanghai,Homo sapiens,Illumina MiSeq,31.2 N 121.4 E,case4,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2019-12-09T00:00:00Z,2019-10-18T03:10:00Z,1,human gut microbiota of children,SRP226142
SRR10305377,AMPLICON,602,33674676,PRJNA578223,SAMN13053192,Metagenome or environmental,18701674,CHINESE NATIONAL HUMAN GENOME CENTER AT SHANGHAI,2018,public,"sra,run.zq,fastq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX7016692,China,Asia,China:Shanghai,Homo sapiens,Illumina MiSeq,31.2 N 121.4 E,case3,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2019-12-09T00:00:00Z,2019-10-18T03:11:00Z,1,human gut microbiota of children,SRP226142
