run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp	sample_alias	sample_title
ERR5263138	SAMEA7872087	ERX5053474	PRJEB42687	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/008/ERR5263138/ERR5263138_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/008/ERR5263138/ERR5263138_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263138/stool.control.13S.2_2_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263138/stool.control.13S.2_2_L001_R2_001.fastq.gz		stool.control.13S.2	stool.control.13S.2
ERR5263140	SAMEA7872094	ERX5053476	PRJEB42687	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/000/ERR5263140/ERR5263140_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/000/ERR5263140/ERR5263140_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263140/stool.control.15S.2_48_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263140/stool.control.15S.2_48_L001_R2_001.fastq.gz		stool.control.15S.2	stool.control.15S.2
ERR5263147	SAMEA7872116	ERX5053483	PRJEB42687	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/007/ERR5263147/ERR5263147_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/007/ERR5263147/ERR5263147_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263147/stool.control.28S.2_14_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263147/stool.control.28S.2_14_L001_R2_001.fastq.gz		stool.control.28S.2	stool.control.28S.2
ERR5263148	SAMEA7872117	ERX5053484	PRJEB42687	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/008/ERR5263148/ERR5263148_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/008/ERR5263148/ERR5263148_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263148/stool.control.28S.3_18_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263148/stool.control.28S.3_18_L001_R2_001.fastq.gz		stool.control.28S.3	stool.control.28S.3
ERR5263151	SAMEA7872121	ERX5053487	PRJEB42687	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/001/ERR5263151/ERR5263151_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/001/ERR5263151/ERR5263151_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263151/stool.control.30C.3_4_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263151/stool.control.30C.3_4_L001_R2_001.fastq.gz		stool.control.30C.3	stool.control.30C.3
ERR5263154	SAMEA7872124	ERX5053490	PRJEB42687	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/004/ERR5263154/ERR5263154_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/004/ERR5263154/ERR5263154_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263154/stool.control.31C.1_50_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263154/stool.control.31C.1_50_L001_R2_001.fastq.gz		stool.control.31C.1	stool.control.31C.1
ERR5263156	SAMEA7872126	ERX5053492	PRJEB42687	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/006/ERR5263156/ERR5263156_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/006/ERR5263156/ERR5263156_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263156/stool.control.31C.3_24_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263156/stool.control.31C.3_24_L001_R2_001.fastq.gz		stool.control.31C.3	stool.control.31C.3
ERR5263158	SAMEA7872128	ERX5053494	PRJEB42687	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/008/ERR5263158/ERR5263158_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/008/ERR5263158/ERR5263158_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263158/stool.control.32C.1.ASU_11_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263158/stool.control.32C.1.ASU_11_L001_R2_001.fastq.gz		stool.control.32C.1.ASU	stool.control.32C.1.ASU
ERR5263159	SAMEA7872129	ERX5053495	PRJEB42687	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/009/ERR5263159/ERR5263159_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/009/ERR5263159/ERR5263159_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263159/stool.control.32C.2.run1_12_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263159/stool.control.32C.2.run1_12_L001_R2_001.fastq.gz		stool.control.32C.2A	stool.control.32C.2A
ERR5263161	SAMEA7872131	ERX5053497	PRJEB42687	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/001/ERR5263161/ERR5263161_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/001/ERR5263161/ERR5263161_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263161/stool.control.32C.3_40_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263161/stool.control.32C.3_40_L001_R2_001.fastq.gz		stool.control.32C.3	stool.control.32C.3
ERR5263165	SAMEA7872135	ERX5053501	PRJEB42687	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/005/ERR5263165/ERR5263165_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/005/ERR5263165/ERR5263165_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263165/stool.control.36C.1_23_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263165/stool.control.36C.1_23_L001_R2_001.fastq.gz		stool.control.36C.1	stool.control.36C.1
ERR5263166	SAMEA7872136	ERX5053502	PRJEB42687	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/006/ERR5263166/ERR5263166_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/006/ERR5263166/ERR5263166_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263166/stool.control.37C.1_32_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263166/stool.control.37C.1_32_L001_R2_001.fastq.gz		stool.control.37C.1	stool.control.37C.1
ERR5263168	SAMEA7872138	ERX5053504	PRJEB42687	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/008/ERR5263168/ERR5263168_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/008/ERR5263168/ERR5263168_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263168/stool.control.38C.2A_41_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263168/stool.control.38C.2A_41_L001_R2_001.fastq.gz		stool.control.38C.2A	stool.control.38C.2A
ERR5263170	SAMEA7872140	ERX5053506	PRJEB42687	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/000/ERR5263170/ERR5263170_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/000/ERR5263170/ERR5263170_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263170/stool.control.39C.1_16_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263170/stool.control.39C.1_16_L001_R2_001.fastq.gz		stool.control.39C.1	stool.control.39C.1
ERR5263172	SAMEA7872142	ERX5053508	PRJEB42687	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/002/ERR5263172/ERR5263172_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/002/ERR5263172/ERR5263172_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263172/stool.control.39C.3_4_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263172/stool.control.39C.3_4_L001_R2_001.fastq.gz		stool.control.39C.3	stool.control.39C.3
ERR5263173	SAMEA7872143	ERX5053509	PRJEB42687	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/003/ERR5263173/ERR5263173_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/003/ERR5263173/ERR5263173_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263173/stool.control.39C.4_9_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263173/stool.control.39C.4_9_L001_R2_001.fastq.gz		stool.control.39C.4	stool.control.39C.4
ERR5263174	SAMEA7872144	ERX5053510	PRJEB42687	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/004/ERR5263174/ERR5263174_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/004/ERR5263174/ERR5263174_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263174/stool.control.40C.1_39_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263174/stool.control.40C.1_39_L001_R2_001.fastq.gz		stool.control.40C.1	stool.control.40C.1
ERR5263175	SAMEA7872145	ERX5053511	PRJEB42687	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/005/ERR5263175/ERR5263175_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/005/ERR5263175/ERR5263175_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263175/stool.control.40C.2_17_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263175/stool.control.40C.2_17_L001_R2_001.fastq.gz		stool.control.40C.2	stool.control.40C.2
ERR5263101	SAMEA7872082	ERX5053437	PRJEB42687	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/001/ERR5263101/ERR5263101_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/001/ERR5263101/ERR5263101_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263101/stool.ASD.12.1_43_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263101/stool.ASD.12.1_43_L001_R2_001.fastq.gz		stool.ASD.12.1	stool.ASD.12.1
ERR5263102	SAMEA7872083	ERX5053438	PRJEB42687	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/002/ERR5263102/ERR5263102_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/002/ERR5263102/ERR5263102_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263102/stool.ASD.12.2_5_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263102/stool.ASD.12.2_5_L001_R2_001.fastq.gz		stool.ASD.12.2	stool.ASD.12.2
ERR5263104	SAMEA7872088	ERX5053440	PRJEB42687	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/004/ERR5263104/ERR5263104_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/004/ERR5263104/ERR5263104_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263104/stool.ASD.14.1_21_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263104/stool.ASD.14.1_21_L001_R2_001.fastq.gz		stool.ASD.14.1	stool.ASD.14.1
ERR5263106	SAMEA7872090	ERX5053442	PRJEB42687	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/006/ERR5263106/ERR5263106_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/006/ERR5263106/ERR5263106_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263106/stool.ASD.14.3_30_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263106/stool.ASD.14.3_30_L001_R2_001.fastq.gz		stool.ASD.14.3	stool.ASD.14.3
ERR5263110	SAMEA7872100	ERX5053446	PRJEB42687	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/000/ERR5263110/ERR5263110_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/000/ERR5263110/ERR5263110_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263110/stool.ASD.22.1_28_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263110/stool.ASD.22.1_28_L001_R2_001.fastq.gz		stool.ASD.22.1	stool.ASD.22.1
ERR5263111	SAMEA7872101	ERX5053447	PRJEB42687	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/001/ERR5263111/ERR5263111_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/001/ERR5263111/ERR5263111_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263111/stool.ASD.22.2_8_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263111/stool.ASD.22.2_8_L001_R2_001.fastq.gz		stool.ASD.22.2	stool.ASD.22.2
ERR5263113	SAMEA7872103	ERX5053449	PRJEB42687	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/003/ERR5263113/ERR5263113_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/003/ERR5263113/ERR5263113_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263113/stool.ASD.22.4_22_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263113/stool.ASD.22.4_22_L001_R2_001.fastq.gz		stool.ASD.22.4	stool.ASD.22.4
ERR5263118	SAMEA7872108	ERX5053454	PRJEB42687	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/008/ERR5263118/ERR5263118_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/008/ERR5263118/ERR5263118_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263118/stool.ASD.25.2_47_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263118/stool.ASD.25.2_47_L001_R2_001.fastq.gz		stool.ASD.25.2	stool.ASD.25.2
ERR5263119	SAMEA7872111	ERX5053455	PRJEB42687	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/009/ERR5263119/ERR5263119_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR526/009/ERR5263119/ERR5263119_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263119/stool.ASD.27.1_49_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR526/ERR5263119/stool.ASD.27.1_49_L001_R2_001.fastq.gz		stool.ASD.27.1	stool.ASD.27.1
